"","Coral","PIC","Prevalence","SITE","DEPTH","Site_Depth"
"202","Madracis","MKN8984",0,"IUI-S","35","IUI-S_35"
"203","Merulina","MKN8984",0,"IUI-S","35","IUI-S_35"
"204","Montipora","MKN8984",0,"IUI-S","35","IUI-S_35"
"205","Mycedium","MKN8984",0,"IUI-S","35","IUI-S_35"
"206","Oxypora","MKN8984",0,"IUI-S","35","IUI-S_35"
"207","Pachyseris","MKN8984",0,"IUI-S","35","IUI-S_35"
"208","Paramontastraea","MKN8984",0,"IUI-S","35","IUI-S_35"
"209","Pavona","MKN8984",0,"IUI-S","35","IUI-S_35"
"210","Platygyra","MKN8984",0,"IUI-S","35","IUI-S_35"
"211","Plerogyra","MKN8984",0,"IUI-S","35","IUI-S_35"
"212","Pocillopora","MKN8984",0,"IUI-S","35","IUI-S_35"
"213","Podbacia","MKN8984",0,"IUI-S","35","IUI-S_35"
"214","Porites","MKN8984",0,"IUI-S","35","IUI-S_35"
"215","Psammocora","MKN8984",1,"IUI-S","35","IUI-S_35"
"216","Sclerophyllia","MKN8984",0,"IUI-S","35","IUI-S_35"
"217","Seriatopora","MKN8984",0,"IUI-S","35","IUI-S_35"
"218","Siderastrea","MKN8984",0,"IUI-S","35","IUI-S_35"
"219","Stylophora","MKN8984",0,"IUI-S","35","IUI-S_35"
"220","Turbinaria","MKN8984",0,"IUI-S","35","IUI-S_35"
"221","Acanthastrea","MKN8988",0,"IUI-S","35","IUI-S_35"
"222","Acropora","MKN8988",1,"IUI-S","35","IUI-S_35"
"223","Alveopora","MKN8988",0,"IUI-S","35","IUI-S_35"
"224","Astrea","MKN8988",0,"IUI-S","35","IUI-S_35"
"225","Astreopora","MKN8988",0,"IUI-S","35","IUI-S_35"
"226","Blastomussa","MKN8988",0,"IUI-S","35","IUI-S_35"
"227","Coscinaraea","MKN8988",0,"IUI-S","35","IUI-S_35"
"228","Cynarina","MKN8988",0,"IUI-S","35","IUI-S_35"
"229","Cyphastrea","MKN8988",0,"IUI-S","35","IUI-S_35"
"230","Dipsastraea","MKN8988",1,"IUI-S","35","IUI-S_35"
"231","Echinophyllia","MKN8988",0,"IUI-S","35","IUI-S_35"
"232","Echinopora","MKN8988",0,"IUI-S","35","IUI-S_35"
"233","Erythrastrea","MKN8988",0,"IUI-S","35","IUI-S_35"
"234","Euphyllia","MKN8988",0,"IUI-S","35","IUI-S_35"
"235","Favites","MKN8988",0,"IUI-S","35","IUI-S_35"
"236","Fungia","MKN8988",0,"IUI-S","35","IUI-S_35"
"237","Galaxea","MKN8988",0,"IUI-S","35","IUI-S_35"
"238","Goniastrea","MKN8988",0,"IUI-S","35","IUI-S_35"
"239","Goniopora","MKN8988",0,"IUI-S","35","IUI-S_35"
"240","Gyrosmilia","MKN8988",3,"IUI-S","35","IUI-S_35"
"241","HC","MKN8988",1,"IUI-S","35","IUI-S_35"
"242","Hydnophora","MKN8988",0,"IUI-S","35","IUI-S_35"
"243","Leptastrea","MKN8988",0,"IUI-S","35","IUI-S_35"
"244","Leptoseris","MKN8988",0,"IUI-S","35","IUI-S_35"
"245","Lobophyllia","MKN8988",0,"IUI-S","35","IUI-S_35"
"246","Madracis","MKN8988",0,"IUI-S","35","IUI-S_35"
"247","Merulina","MKN8988",0,"IUI-S","35","IUI-S_35"
"248","Montipora","MKN8988",3,"IUI-S","35","IUI-S_35"
"249","Mycedium","MKN8988",0,"IUI-S","35","IUI-S_35"
"250","Oxypora","MKN8988",0,"IUI-S","35","IUI-S_35"
"251","Pachyseris","MKN8988",0,"IUI-S","35","IUI-S_35"
"252","Paramontastraea","MKN8988",0,"IUI-S","35","IUI-S_35"
"253","Pavona","MKN8988",0,"IUI-S","35","IUI-S_35"
"254","Platygyra","MKN8988",0,"IUI-S","35","IUI-S_35"
"255","Plerogyra","MKN8988",0,"IUI-S","35","IUI-S_35"
"256","Pocillopora","MKN8988",0,"IUI-S","35","IUI-S_35"
"257","Podbacia","MKN8988",0,"IUI-S","35","IUI-S_35"
"258","Porites","MKN8988",0,"IUI-S","35","IUI-S_35"
"259","Psammocora","MKN8988",0,"IUI-S","35","IUI-S_35"
"260","Sclerophyllia","MKN8988",1,"IUI-S","35","IUI-S_35"
"261","Seriatopora","MKN8988",0,"IUI-S","35","IUI-S_35"
"262","Siderastrea","MKN8988",0,"IUI-S","35","IUI-S_35"
"263","Stylophora","MKN8988",0,"IUI-S","35","IUI-S_35"
"264","Turbinaria","MKN8988",0,"IUI-S","35","IUI-S_35"
"265","Acanthastrea","MKN9004",0,"IUI-S","25","IUI-S_25"
"266","Acropora","MKN9004",2,"IUI-S","25","IUI-S_25"
"267","Alveopora","MKN9004",0,"IUI-S","25","IUI-S_25"
"268","Astrea","MKN9004",0,"IUI-S","25","IUI-S_25"
"269","Astreopora","MKN9004",1,"IUI-S","25","IUI-S_25"
"270","Blastomussa","MKN9004",0,"IUI-S","25","IUI-S_25"
"271","Coscinaraea","MKN9004",0,"IUI-S","25","IUI-S_25"
"272","Cynarina","MKN9004",0,"IUI-S","25","IUI-S_25"
"273","Cyphastrea","MKN9004",0,"IUI-S","25","IUI-S_25"
"274","Dipsastraea","MKN9004",0,"IUI-S","25","IUI-S_25"
"275","Echinophyllia","MKN9004",0,"IUI-S","25","IUI-S_25"
"276","Echinopora","MKN9004",0,"IUI-S","25","IUI-S_25"
"277","Erythrastrea","MKN9004",0,"IUI-S","25","IUI-S_25"
"278","Euphyllia","MKN9004",0,"IUI-S","25","IUI-S_25"
"279","Favites","MKN9004",0,"IUI-S","25","IUI-S_25"
"280","Fungia","MKN9004",0,"IUI-S","25","IUI-S_25"
"281","Galaxea","MKN9004",0,"IUI-S","25","IUI-S_25"
"282","Goniastrea","MKN9004",0,"IUI-S","25","IUI-S_25"
"283","Goniopora","MKN9004",0,"IUI-S","25","IUI-S_25"
"284","Gyrosmilia","MKN9004",2,"IUI-S","25","IUI-S_25"
"285","HC","MKN9004",1,"IUI-S","25","IUI-S_25"
"286","Hydnophora","MKN9004",0,"IUI-S","25","IUI-S_25"
